odg,bully,bullied,age,tatot,dens,recip,grade,male,s_att,skip
3,1.5013067975371799,2.08,14,1,0.9449031491016942,0.21110248855714442,9,0,0,0
7,1.4999277235710027,0.18,15,3,0.03122621179071547,0.36729038707278366,11,1,0,0
5,1.5043859520963747,1.52,14,6,0.34512274159249595,0.5497505227957653,9,0,0,0
2,2.0043238051137413,0.77,15,7,0,0.6293912368571488,10,0,0,1
4,2.5042478082435653,4.6,14,2,0.11105996471403394,0,9,0,1,1
7,1.5033418069550843,1.36,14,3,0.164454432578477,0,9,0,0,0
7,1.0013903024173127,-0.83,15,4,0.3876306905842862,0.7434446209072889,10,0,0,0
7,0.9998491117455074,0.86,15,3,0.1958545686777579,0.5187007520456367,11,1,0,1
7,1.5028955192416618,0.19,16,3,0.8866402956839404,1,11,0,0,1
7,1.501132020643415,0.6,14,5,0.02304877898723768,0.0807307240796863,9,0,0,1
0,1.9963282131148055,3.08,18,2,0.24129248589928412,0,12,0,0,1
0,1.5020550332787215,1.24,16,5,0.13531972842493153,0,11,1,0,1
4,0.9985833178655654,-0.02,15,2,0.614029594745666,0.6477734955891875,10,0,0,1
2,1.0016207385447045,1,16,1,0.5957141338691027,0.07655965575233872,10,0,0,1
0,2.501759996068691,3.06,16,0,0.3820254790380351,0.3030161119898453,11,0,1,0
7,1.995882761531638,3.17,13,4,0.04817312803336947,0,9,1,0,0
4,1.9990987203318773,3.67,13,7,0.03481619152613788,0.25645388320460477,9,1,0,0
7,1.9995061915119297,2.64,16,3,0.4549304898335643,0.02922270733189206,11,1,0,1
5,1.0008013106108893,-1.6,15,2,0,0.37938860740395774,10,1,0,1
7,1.0020336362543643,-1.71,16,7,0.38387632297648744,0.7757983925974661,11,0,1,1
7,1.4964800131972047,1.63,13,7,0.6452875896948439,0.3937937113995874,9,0,0,0
0,1.501777085408917,0.6,16,3,0,0,11,1,0,1
4,1.5054308059420478,0.69,14,5,0.027786957181812667,0.900674348326499,10,0,0,1
6,1.9960573952274188,2.53,15,7,0.20406526078451692,0.680256316541215,11,0,0,1
7,1.498659758348891,1.12,15,7,0.26733090724174907,0.15880074296905441,10,1,0,1
5,2.0016406607173733,2.53,16,2,0,0,11,0,0,1
0,2.003516294479722,3.16,13,1,0.049062061077706914,0.4486189082971041,9,0,1,0
3,1.5001086393145597,2.05,14,1,0.15024152608146166,0,9,0,0,0
7,2.9976647115825994,4.26,17,4,0.5701367796415839,1,12,1,0,0
0,2.001427907464225,1.92,13,5,0.828122113683962,0,9,1,1,1
7,1.504505151564778,1.24,13,3,0.5309398878896384,0.48061147657480013,9,0,0,0
1,1.5015760379783885,1.73,15,0,0.4173832739925145,0,10,1,0,0
0,1.499320402023736,1,14,6,0.618471758447353,0,9,1,0,0
7,1.5000824488742257,1.03,14,7,0.048183597501590736,0.05363938325985291,9,1,0,0
4,2.5039173138832216,3.22,14,2,0,0,10,1,0,1
7,1.9990337124891173,1.55,14,6,0.1524175739903649,0.4600977621192667,9,1,0,1
6,1.501000943188442,1.34,18,7,0.5397446889597741,0.5187541445790105,12,1,0,1
7,1.4992806403171777,0.99,15,7,0.039013276366849856,0.5584208743333785,10,0,0,0
7,1.4975433389186192,1.35,14,3,0.12868800513204684,0.17574089279022287,9,1,0,0
2,2.00242856190044,1.36,13,4,0.321742746408016,0.3814362273449269,9,1,0,0
2,1.5006852427530482,2.64,15,1,0.5020452020659473,0.17057224523730546,10,1,0,1
7,1.4984861102761198,1.88,17,3,1,0.9998390210217026,12,0,0,0
7,2.003194684457737,3.1,16,7,0.11434160471581484,0.3337917755762842,11,0,0,1
7,1.002191624873795,0.23,14,6,0.14092492619179453,0.28824319254545594,9,1,0,1
5,1.0054700883444931,-0.31,13,7,0.06482385426929113,0.2547819684782768,9,1,0,0
5,1.9987796645805438,2.34,14,2,0.18671744914024907,0.07958887106869969,9,1,0,1
7,1.4973794826953686,0.7,15,3,0.2836776537895877,0.39928339465825413,10,0,0,1
7,1.9965535447189948,1.26,16,3,0.14280034811003153,0.02395669104307262,11,0,1,1
5,3.4999809279334095,4.78,16,2,1,1,11,0,0,0
0,2.499013171020555,5.21,17,7,0.6284491292901224,0.4789801695289915,12,1,0,1
0,2.001919209550432,1.33,14,1,0,0,9,1,0,1
5,2.0010083558081666,3.27,18,3,0,0,12,1,1,0
3,1.5033096753284587,2.28,15,2,0.4277813500567731,0,10,1,0,0
0,2.5029951564294146,3.79,15,6,0.5470233189830154,0,10,0,0,1
6,2.5003364422759056,3.23,13,2,0.3634292640386054,0.482666619857666,9,0,0,0
7,0.999287002477073,-0.93,16,3,0.24987693382897286,1,11,1,0,1
6,1.5015131138986904,1.02,15,2,0.39565187414163805,0.6202467421414269,11,1,0,1
5,1.502845883690756,1.65,17,3,0.5142696846568384,0.3237773546607839,12,0,0,0
0,1.0014432295635505,0.08,17,1,0.05592697050069433,0,11,0,0,1
7,2.493666511146203,4.6,16,3,0.29815482001499216,0.30399668482779624,11,0,0,0
5,2.00093742166382,2.19,16,7,0.5849370197378816,0,11,0,0,1
4,2.0005260665055093,2.52,15,2,0.014846728327358,0,10,0,0,0
7,0.9983923306263226,-1.02,17,6,0.521390598936325,0.2682164513963592,12,0,0,0
0,2.0019350846572825,4.18,13,5,0.008589575282870184,0,9,0,0,0
0,1.0047213045138366,-1.7,18,1,0.05874986496184752,0,12,1,0,1
7,1.9979249404031996,1.51,14,7,0.5930233127018573,0.819133353090143,10,1,0,0
7,1.0027236352919713,-0.51,17,3,0.8773745841025515,0.5161266204680005,12,1,0,0
7,1.4988045658353133,0.57,18,3,0.057046920656704955,0,12,1,0,1
7,0.998131320225177,-1.4,17,7,0.7156218617165679,0.9525203637909433,12,0,0,1
7,0.9992739833902693,-1.2,16,7,0.10061829890232735,0.23695292407083499,11,0,0,0
6,1.5021015411115473,0.75,14,7,0.6125401205571437,0.8030037990448106,10,0,0,1
7,0.9991260064568565,0.28,13,6,1,0.85046823801077,9,1,0,0
7,1.0047922214732945,1.28,17,3,0.10309142217211476,0.6268082345743387,12,1,0,0
0,2.0001637853688363,2.7,14,0,0.16251130280979262,0.02360117494554595,10,0,0,1
7,2.000198390001887,3.79,16,7,0.12049008639770878,0,11,0,0,0
0,1.502150214268789,0.3,13,0,0.4903406520232019,0.31198632028130113,9,1,0,1
0,1.5028342407009898,0.85,15,7,0.947764785160588,0.32556521780781816,10,1,0,1
5,1.5006651099460036,2.56,13,2,0.06498013846585685,1,9,1,0,0
4,2.9980348020034056,7.07,14,2,0.21002923727644518,0.4035549680399694,10,1,0,0
7,1.5005924222617182,-0.04,17,3,0.03438260124147465,0.4716666223776372,12,1,0,1
7,1.5007081576500056,1,17,3,0.3669692016295255,0.509773031019134,12,0,0,1
0,2.005588224910066,1.06,16,1,0.05675764960376684,0.16011736922076045,11,1,0,1
7,2.001832857833921,3.08,13,3,0.9381762405849419,0.5601777141166858,9,1,0,0
7,1.9956382421569474,2.89,15,3,0.315724791843081,1,10,0,0,0
7,2.0000872557481717,2.9,17,3,0,0.09087258528992805,12,0,0,0
5,1.5020388519927188,2.53,15,2,0.13555676423733454,0,10,1,0,0
0,2.5007802306506886,4.17,14,4,0.0935107038500629,0.10328997821349502,9,1,0,1
7,1.9976334790129386,1.23,18,3,0.5624316435437794,0,12,0,0,1
0,2.0039324540387633,3.05,17,1,0.147352894493693,0.8814533213246207,12,1,0,0
0,1.0017423026610255,-1.31,17,7,0.05914530638112569,0,12,1,0,1
0,1.005254166645428,-0.65,16,7,0.49222494661283883,0,11,0,0,0
7,3.0002960172650206,5.15,17,3,0,0.41019135651117433,12,0,0,1
7,1.5031175378757085,-0.05,16,3,0.07481598170779424,0.8093277618700427,11,1,0,0
7,0.9978228502177943,-0.37,16,3,0.1361294837299135,0.035570139716205255,11,1,0,0
0,2.0031965733519295,2.02,18,6,0,0.2141310577898789,12,0,0,0
0,1.505194563567275,1.8,18,0,0.5377623187067202,0.7294093715555672,12,0,1,1
6,0.9988488843801548,-0.36,16,2,0.6016354588440005,0.5577827188358567,11,0,0,1
7,1.4977230926985112,0.67,17,3,0.08712025020132955,0.32964239877004403,12,0,0,1
0,1.5016177307793868,-0.17,17,0,0.12277533507838337,0.23202397494938512,11,0,1,0
4,2.4976099792369553,4.35,16,2,0.5649803803850312,0.17009266890606006,11,0,0,0
2,0.9990934152592856,-2.04,14,0,0.6972462393213886,0.5081711110829656,10,1,0,0
0,1.5070614447812782,0.34,14,0,0.6724295915813789,0.18715615634950974,9,0,0,0
3,1.0012872784067826,0.33,16,1,0.5319855771470491,0.008042091040180376,10,0,0,1
2,2.5020857225822417,4.91,15,1,0,0.03673672718530742,10,1,0,0
0,2.005308304174807,0.98,15,0,0.10041463030117745,0,10,1,0,1
0,1.503741084651769,1.02,14,0,1,0,9,1,0,0
7,2.0000619926259153,0.54,16,7,0.4862536928329112,0.6831238480844568,11,0,0,1
6,1.4988896231349558,1.62,16,3,0.20787627357642677,0,11,1,0,1
1,2.000839005606296,2.06,14,7,0.0846679906868241,0,9,1,0,0
0,1.0023992237314672,-2.52,17,7,0.5305599910089387,0.17278109482848275,12,1,0,1
0,2.0033429977679496,1.69,18,0,0,0,12,0,0,1
7,1.4971831867070928,1.03,16,3,0.713565639653146,1,11,1,0,1
3,1.4997808978834264,0.66,15,1,0.24471219839998684,0,9,1,0,0
5,1.5002451584002015,0.56,17,6,0.48482675303867007,0.7870689619922697,12,0,0,1
7,1.0013311236686506,-0.13,13,6,0.14165767183301073,0,9,1,0,1
7,1.9953188018096157,3.2,16,7,0.9121321945780974,0.6447889365675827,12,1,0,0
0,1.0021438569827676,0.33,16,0,0.18243278857455214,0,11,0,0,1
7,1.498840396397846,0.72,14,5,0.166721826392215,0.8528944019596917,10,1,0,1
7,3.4978864874762894,8.15,14,6,0.6014900173144034,0.33100488744983286,9,0,0,1
7,2.0004520115765114,2.82,13,3,0.026118561033426895,0.01724717060083385,9,0,0,0
2,1.0062284805834003,-0.96,18,1,0.7695335881134794,0.831116573784942,12,0,0,1
5,2.003706376290129,1.45,18,2,0.5009331602079117,0.0655996328424819,12,1,0,1
7,1.0015939442890458,0.74,14,4,0.10742398963890398,1,10,1,0,1
7,1.5074394421976596,1.41,17,3,0.3970202651396742,0.33071589252081335,12,1,0,1
7,2.000472627037799,2.79,15,3,0,0,10,1,0,1
1,2.0018396705685033,1.62,16,5,0.6053325504343776,0.5733996663514596,11,0,0,0
0,2.0062945740559295,2.41,16,0,0,0,11,1,0,1
0,1.0049419234576267,-2.36,18,7,0.5198250165362203,0.005245719806246644,12,1,1,1
2,2.0060624468844215,2.66,14,1,0,0,9,1,0,0
0,1.0068279095520969,-0.49,16,0,0.3614475379098279,0.35287319743186646,11,1,0,1
7,1.0004221888307705,0.37,14,3,0.6137309435963431,0,10,1,0,0
5,2.0007607207911198,1.7,13,7,0.8211218427468038,0.850558511175212,9,1,0,0
7,1.5025656192665116,1.7,15,7,0.38083629008747494,0.6519004967471416,10,0,0,0
2,1.5019556453997882,0.92,15,2,0.19849291424512092,0,10,1,0,1
7,1.5018215302696332,0.74,14,3,0.10377453611834146,0,9,1,0,1
3,2.0020235908115236,1.38,18,5,0.32244383686922423,0.06155614359224489,12,1,0,1
5,1.5017899586155832,1.32,14,2,0.4470920816383649,0.4783431256464698,9,0,0,0
0,1.5060529289222329,2.03,15,0,0.050727749689617484,0.14857011250607158,10,1,0,1
7,1.5028530659724781,1.07,15,3,0,0,10,1,0,0
0,1.0003057524979164,-0.53,14,7,0.6320447107343697,0,9,0,0,1
7,1.0002645520181117,-1.02,18,4,0.2724574337649221,0.07892548635712045,12,0,0,1
5,1.4964848737349656,0.44,16,2,1,1,11,0,0,1
0,1.0031862102054676,0.02,17,5,0.5672347166370153,0,12,1,0,1
4,1.001665390037167,-0.49,17,2,0.23115255407152005,0.27719920167491197,12,1,0,0
7,2.0011112477890176,1.51,15,3,0.16139118651086382,0,10,1,0,0
7,1.0025294011677257,-0.88,15,3,0.8366951436665595,0.8559767890869039,10,1,0,0
5,1.0027594190636973,0.18,14,2,0.8291013239621584,0.426046117766033,9,1,1,0
0,2.0029505976448103,0.77,18,0,0,0,12,1,0,1
6,1.5008738871870768,1.44,13,2,0.6182237475069104,0.456832856021958,9,1,0,0
6,1.4998123348502146,0.69,17,5,0.03345535187963478,0,12,0,0,1
6,2.9974722518841226,3.86,16,2,0.06257176999225306,0,11,0,0,1
7,2.4963505885660138,3.59,13,3,0.292795159476674,0.739336631161651,9,0,0,1
7,0.9986664927416709,-0.81,17,3,0.04149045506873563,0.45002970782728813,12,1,0,1
7,1.4967080533010138,0.24,17,3,0.6823483282506211,0.25269812123668495,12,0,0,0
7,1.5014546289262043,1.08,17,3,0.9086833848427356,0.8339072562753753,11,0,0,0
0,1.5014932150440519,-1.04,16,7,0.11877002422337403,0,11,1,0,1
7,2.000211650273211,2.02,16,5,0,0.816186462723527,11,0,0,1
7,1.4971511934772015,1.05,13,6,0.23176570312995529,0.34039627360021607,9,0,0,1
0,2.500608914701478,3.6,16,4,8.461043196409936e-4,0,11,1,0,0
7,0.999997940827034,-1.1,17,5,0.2447258234631303,0.1260525295370791,12,0,0,1
6,1.999632838218711,2.85,16,3,0.027277971974367737,0.18091571763394504,11,1,0,0
4,1.0037623478751956,-1.39,14,1,0,0.15052029827585242,9,1,0,0
7,1.9970552508621005,2.27,15,5,0.9832275391755919,0.42557312343943987,10,1,0,0
3,2.5010179432153272,1.97,15,7,0.0443509524788391,0.4567207473491915,10,1,0,1
7,2.0019130835798484,1.97,15,4,0.051194439911772846,0.3279678366796315,10,1,0,1
3,2.5019265308256955,3.69,14,3,0.4414755674111217,0,9,0,0,0
0,2.004040250818127,1.49,16,7,0.396518481671472,0,11,1,0,1
7,0.997840260934136,-2.44,18,3,1,1,12,0,0,0
3,1.500707945729641,1.5,13,2,0.05853880065557103,0,9,0,0,1
7,1.9954425677654433,2.36,14,3,1,1,10,0,0,1
7,2.4992683152775994,3.51,14,3,0.526293163711576,1,10,1,0,0
0,1.5039534355444188,1.31,15,4,0.42074360631810626,0,10,1,0,0
7,0.9987567180854804,-0.92,18,7,0.18292823271372396,0.5372004614850784,12,0,0,1
0,2.00048358301406,2.83,16,2,0.5484926554071867,0,10,1,1,1
1,1.0061135879583867,0.48,16,4,0.10784261743078383,0.1010862011136578,10,0,0,1
2,2.0051805641844345,2.65,15,1,0.35213767760097636,0.13377430220699238,10,0,0,1
7,1.0004234966789474,-0.44,17,7,0.25567645508691317,0.036207331197703044,12,1,0,1
7,2.0035478023170663,2.99,16,7,0.11553354745239243,0,11,0,0,1
3,1.0009580557625788,-0.46,18,2,0.09107145956687643,0,12,0,1,1
1,1.5003724799582034,0.43,14,5,0.9291539804286407,0.37501613298675346,9,0,0,0
7,0.9987046691415384,-1.2,18,3,0.09557958326793198,0,12,0,0,0
0,2.0050843780444554,0.23,15,4,0.4392969385702724,0,10,0,0,1
5,1.0033614659516636,-0.21,18,2,0.4521903218235051,0.8664653193784153,12,1,0,0
3,1.5033564258819112,2.77,18,7,0.16829892221678294,0,12,1,0,1
3,1.5012069557971537,1.36,13,1,0.48346336468343043,0,9,1,0,1
3,3.0003240066441847,6.26,16,2,0.5758194045137633,0.44617740073030454,11,1,0,0
7,2.9995179607292997,5.4,15,3,0,0.48591717911342275,10,0,1,0
7,1.4953006269165339,1.26,13,5,0.5116751574519363,0.30299849674270235,9,0,0,0
0,1.0047560140980047,-1.83,13,3,0.13663546484102548,0,9,0,0,1
0,1.0025650241116657,-1.07,18,0,0.4602718956478413,0.005118849749204545,12,0,0,1
7,1.4998920426156062,1.22,17,7,0.16169463603996645,0.538289280613312,12,0,0,1
1,2.501446502942853,1.83,18,0,0.37367653717239085,0,12,1,1,1
5,2.001668513467332,1.46,15,2,0.8346670522416932,0.4975343172968469,10,1,0,0
0,2.002183352278976,3.41,18,1,0.1157869446349601,0,12,0,0,1
7,3.499926383523088,6.12,15,3,0.5541078395471807,1,11,0,0,0
7,2.496771601091729,2.24,15,7,0.14301977686804948,0,10,1,0,0
5,2.5009214461243845,4.14,15,2,0,0,10,1,0,0
7,0.996288799585438,-0.02,15,7,0.15159929282231271,0,11,0,0,0
0,2.002610556222643,0.52,16,0,1,0,11,0,0,1
4,1.0043800226522372,0.18,15,2,0,0,10,0,0,1
0,2.0057553175917064,1.89,15,7,0.05465337392400112,0.5750953084604541,10,1,0,1
6,1.4991436749340221,0.39,14,2,0.2573637777162299,0,9,1,0,0
7,1.9986482292782999,2.14,16,7,0.25768614399166134,0.1377608869082107,11,0,0,1
0,1.5046853565761626,-0.19,18,0,0,0.22511864087392666,12,0,0,1
7,1.0004457168204302,-0.51,17,7,0.13982076104662053,0.14885538629893916,12,1,0,1
0,1.5040630765287355,1.87,17,2,0.15917391312642146,0.16022331012396973,12,0,0,1
7,0.9996580402955219,-1.22,15,7,0.161989480248066,0.2649961454214416,10,1,0,0
5,1.9979199821195444,2.63,15,2,0.15581121094377892,0.07113654861146743,10,1,0,0
5,1.5006920490314362,1.06,18,3,0.5329751588692436,0.15291459125022072,12,1,0,1
3,2.003225699241277,1.87,14,1,0.008775787183265655,0,9,1,0,1
7,1.5008107022016948,2.52,17,5,0.6341985203900039,0.39782814382141335,12,1,0,0
1,1.5049636558566495,1.78,17,1,0.8627899844746852,0.3943714949031156,12,0,0,0
0,2.0048361680399407,2.54,14,2,0.31681007867417627,0,9,1,0,1
5,2.003915059291686,1.56,15,2,0,0,10,1,0,1
6,0.9987743444123897,-0.86,16,2,0.03027533561120776,0.6236151471364696,11,1,0,0
0,2.003745620761981,4.35,15,6,0.4333461412040744,0.19459811298536464,10,1,0,1
0,2.0027118883370925,1.82,14,0,0.33952928094014023,0.21185900440543232,9,1,0,1
6,1.498892914834862,-0.1,13,7,0.1051378812435275,0,9,1,0,1
7,1.5017553256224525,2.14,16,3,0,0.15833765453594817,11,1,0,1
6,2.0024428040132998,3.19,14,2,0.502748675996802,0.6170942170729792,9,1,0,0
0,3.0019469208528413,5.02,16,1,0.059830990427686456,0,11,1,1,0
7,1.5046511433242569,0.41,15,7,0.7264984554108301,0.5831568586667402,10,1,0,0
6,2.0008395505764796,4.12,17,5,0.4057004944003635,0.42909098176050225,12,1,0,1
7,1.4987765099797326,-0.18,17,7,0.26670259380403777,0.3798319409452756,12,0,0,1
6,1.5011205019589224,0.32,16,7,0.18619926535219836,0.40673157408083244,11,0,0,0
0,2.5011710910327345,5.24,14,2,0,0.3377479656087813,9,1,0,0
7,2.001298976492964,3.05,18,3,0.3465220267569548,0.34770924972931205,12,1,0,1
7,1.4998693329447517,1.67,13,3,0,0.8382070575218623,9,0,0,0
1,1.003489006282973,-1.47,16,0,0.9126938078004845,0.5438654067593623,11,1,0,0
7,1.0024102648997808,-0.72,15,3,0,0.14270718083847925,10,1,0,1
0,2.0005089499016266,2.17,17,0,0.5871235438736907,0,11,1,0,1
6,1.0030174459779784,-0.18,15,2,0.1748152849293912,0.19396687960466052,10,1,0,0
7,2.002563029844463,4.17,16,3,0.009138694473634421,0.1862182794999541,11,1,0,0
7,1.4993501334492618,-0.79,14,5,0.20455463075305658,0.2208197542786166,9,1,0,0
7,1.501655980632692,0.1,16,3,0.1672245868194331,0.200900883256138,11,1,0,1
7,0.9992183813428782,0.05,14,3,0.6133512711622651,0.380712525971479,9,0,0,0
7,1.5009899285911652,2.34,15,3,0.18278182957109398,0.582044283990637,11,1,0,1
7,3.001878742045978,5.43,14,3,0.2930896790799917,0.2765551408174922,9,1,0,0
7,1.9989654879656689,2.75,13,3,0.1768869371888828,0,9,1,0,0
4,1.5028489136877292,-0.01,18,5,0.37110032542224664,0.40007458556655356,12,0,0,1
7,1.5009840521130795,2.3,15,7,0.4804965240767965,0.8821151485635981,10,1,0,0
7,2.502885775345023,3.93,15,7,0.13080684997877895,0.5160755374750778,10,0,0,0
0,2.0078216287789847,1.44,15,0,0.04632988818941722,0.21445088444554056,10,0,1,0
7,2.501695049154476,2.03,14,7,0.1520131784848537,0.5146548962195155,10,0,0,1
5,1.0009705383929768,-1.29,13,2,0.44579203545890145,0.6801684032946249,9,1,0,0
4,2.0002558954660286,1.9,17,7,0.859266264039354,0.25284961989035326,12,0,1,1
5,1.5041382327661719,1.58,17,7,1,0.7181459957907687,12,0,0,0
7,3.0009851709892184,5.26,13,2,0.5000634380324462,0,9,0,0,0
3,2.001380724175906,2.14,16,2,0.11177416425288127,0,11,0,1,1
0,3.504598691933183,5.77,16,1,0.44383650254796947,0,11,1,1,1
7,0.9991634531580252,-0.28,15,3,0.1813177808668176,0.41159688311936093,10,1,0,0
1,2.0015581826016264,1.39,15,0,0.5909260214024455,0,10,0,1,1
7,1.5017031480269938,0.25,17,5,0,0.23877532775140517,12,1,0,1
0,3.000843914948698,5.32,15,0,0.14991580775688065,0.5225529671652325,10,0,0,1
5,1.502141786300403,1.61,16,2,0.4001300887742942,0,11,1,0,1
4,2.0033174385961425,2.53,16,7,0.13807776395107574,0.1568257516464275,10,1,0,1
7,0.9999364975302123,-2.44,14,2,0.18384507738708036,0.27419593246639534,9,1,0,0
0,1.0009074829014883,-0.88,18,0,0.12396001239334065,0.328947207154236,12,0,0,1
2,1.0007111725052402,2.31,13,4,0.996109269667501,0.1881239462286944,9,1,0,0
0,1.5041326463942246,-0.38,15,7,0.46847147592844784,0.0426872498666171,10,1,0,0
7,1.5026695549888305,0.46,16,7,0.20000666838576472,0.08036165001850969,10,0,0,1
7,1.0032573628834425,-1.94,15,7,0.19170305145956698,0,10,1,0,1
3,3.5001374438241064,6.09,17,1,0,0.4866870129676547,12,1,1,0
4,0.9964855864402214,0.34,18,2,0.27904204493961265,0,12,1,0,1
0,2.5024577164530184,4.32,14,0,0.03018504084349067,0,9,1,1,1
7,0.9986280256608112,0.37,15,7,0.06692395964286564,0,10,1,0,1
7,2.9992540999410036,4.66,14,6,0.9416482355439482,0.9795041538078902,10,0,0,0
0,2.0001629601367217,2.86,16,0,0.6373640002936567,0.2527526766142288,11,1,0,0
